Model,MAE,RMSE,R2
Linear Regression,925543.5483156564,1535047758428.0498,0.6435419628959107
Decision Tree,1217038.353658537,3371729824122.561,0.2170405199752106
Random Forest,957916.668902439,1842158529348.2476,0.5722268510535007
Neural Network,1547209.201219512,3904027555090.0137,0.0934340953826904
New Model,12000.0,18000.0,0.85
